#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,libnotify, "Allows desktop notifications."
,tllist, "A typed linked c header file"
,libgit2, "A linkable library for git"
,w3m, "Text-based Web browser as well as pager"
,lynx, "TUI browser"
,glow, "Command-line markdown renderer"
,chafa, "Image-to-text converter supporting a wide range of symbols and etc."
,perl-image-exiftool, "Reader and rewriter of EXIF information that supports raw files"
,atool, "Manages and gives information about archives."
,fontforge, "Full-featured outline and bitmap font editor."
,unrar, "The RAR uncompression program"
,tar, "Utility used to  backup and transport files"
,unzip, "Unzips zips."
,dosfstools, "Allows your computer to access dos-like filesystems."
,exfat-utils, "Allows management of FAT drives."
,ntfs-3g, "Allows accessing NTFS partitions."
,man-db, "Lets you read man pages of programs."
,ffmpeg,"Can record and splice video and audio on the command line."
,ffmpegthumbnailer,"Creates thumbnail previews of video files."
,mpd,"Lightweight music daemon."
,mpc,"Is a terminal interface for mpd."
,mpv,"Is the patrician's choice video player."
,polkit,"Manages user policies."
,gnome-keyring,"Serves as the system keyring."
,bc,"Mathematics language used for the dropdown calculator."
,calcurse,"Terminal-based organizer"
,ncmpcpp,"TUI for music with multiple formats"
,newsboat,"TUI RSS client."
,zathura,"TUI pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"Allows mupdf pdf compatibility in zathura."
,poppler,"Manipulates .pdfs and gives"
,ninja,"Small build system with a focus on speed"
,meson,"High productivity build system"
,moreutils,"moreutils: Collection of useful unix tools."
,wireplumber,"Audio system."
,pipewire-pulse,"Compatibility with PulseAudio programs."
,pulsemixer,"Audio controller"
,imv,"Minimalist image viewer."
,kitty,"A modern hackable featureful OpenGL-based terminal emulator"
,mako,"Suckless notification system."
,pass,"Stores retrieves generates and synchronizes passwords securely"
,curl,"command line tool and library for transferring data with URLs"
,wget,"Network utility to retrieve files from the Web"
,python3,"Next generation python high level scripting language"
,jq,"Command-line JSON processor"
,tmux,"Terminal multiplexer"
,less,"A terminal based program for viewing text files"
,httpie,"human-friendly CLI HTTP client for the API era"
,neofetch,"A CLI system information tool written in BASH that supports displaying images."
,transmission-cli,"BitTorrent client (CLI tools daemon and web client)"
,gammastep,"Adjust the color temperature of your screen according to your surroundings."
,bemenu,"Dynamic menu library and client program inspired by dmenu"
,bemenu-wayland,"Wayland (wlroots-based compositors) renderer for bemenu"
,wlroots,"Modular Wayland compositor library"
,wtype,"Xdotool for wayland"
,wayland-protocols,"Specifications of extended wayland protocols"
,wl-clipboard,"Command-line copy/paste utilities for Wayland"
,foot,"Fast lightweight and minimalistic Wayland terminal emulator"
,grim,"Screenshot utility for Wayland"
,swappy,"A Wayland native snapshot editing tool"
,slurp,"Select a region in a Wayland compositor"
,xdg-utils,"Command line tools that assist application with a variety of desktop integration tasks"
,xdg-user-dirs,"Manage user directories"
,yq,"Command-line YAML XML TOML processor - jq wrapper for YAML/XML/TOML documents"
,cargo-update,"A cargo subcommand for checking and applying updates to installed executables"
,fzf,"Fuzzy finder tool"
,github-cli,"The GitHub CLI"
,swaybg," Wallpaper tool for Wayland compositors"
,pamixer,"Pulseaudio command-line mixer like amixer"
,go,"Core compiler tools for the Go programming language"
,htop,"Graphical and colorful system monitor."

A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,clipman,"clipboard manager for Wayland"
A,wlr-randr,"Utility to manage outputs of a Wayland compositor"
A,light,"Program to easily change brightness on backlight-controllers."
A,tremc-git,"Curses interface for transmission - python3 fork of transmission-remote-cli"
A,ctpv,"Image previews for lf file manager"

G,https://github.com/vivi870123/someblocks.git,"serves as the modular status bar."
G,https://github.com/vivi870123/dwlb.git,"statusbar"
G,https://github.com/vivi870123/dwl.git,"is the window manager."
